Detecting language using up to the first 30 seconds. Use `--language` to specify the language
Detected language: Russian
[00:00.000 --> 00:02.520]  Которые постоянно не работают.
[47:39.600 --> 47:42.600]  Конечно, можно из себя от настроек и так далее.
[47:42.600 --> 48:03.600]  Просто имеете ввиду, что вот frame pointer.
[48:03.600 --> 48:05.600]  No emit frame pointer.
[48:05.600 --> 48:07.600]  Может быть.
[48:07.600 --> 48:09.600]  Может быть.
[48:09.600 --> 48:20.600]  Такая активизация есть, но она применяется даже в релизе не всегда.
[48:20.600 --> 48:25.600]  С этим сборюсь.
[48:25.600 --> 48:27.600]  Еще раз повторюсь.
[48:27.600 --> 48:34.600]  Я вам все-таки, наверное, больше рекомендовал бы работать без frame pointer,
[48:34.600 --> 48:37.600]  потому что это .
[48:37.600 --> 48:51.600]  И как не запутаться, повторяю, что вы можете при обращении к аргументам писать
[48:51.600 --> 48:57.600]  ESP плюс чего-нибудь там 36.
[48:57.600 --> 49:00.600]  Вот мы обращаемся к первому размеру плюс.
[49:00.600 --> 49:03.600]  Описать это как...
[49:03.600 --> 49:27.600]  Где вот это смещение, это ваше техническое смещение, которое возникло в результате там опускания стоппоинтера, всяких пушек и так далее.
[49:27.600 --> 49:30.600]  А вот это уже смещение по смыслу.
[49:30.600 --> 49:38.600]  И поэтому, если вы там где-нибудь, что-нибудь, какой-нибудь там пуш добавите, вам нужно сохранить какое-то рипистое.
[49:38.600 --> 49:47.600]  То в этом случае вам нужно всего лишь поменять вот это число, а не пересчитывать все.
[49:47.600 --> 49:53.600]  И вы видите просто по вот этому окончанию, что вот это вы обращаетесь к первому аргументу.
[49:53.600 --> 49:56.600]  И намного проще разбираться с предстоящим.
[49:56.600 --> 49:59.600]  Обратите внимание, что нет необходимости вы что-нибудь засчитывать.
[49:59.600 --> 50:02.600]  Вот такие простенькие технические выражения.
[50:02.600 --> 50:06.600]  Да, да, это все считается компилятором.
[50:06.600 --> 50:14.600]  То есть это вот многим не очевидно, а читабельность вашего кода сильно повышает.
[50:14.600 --> 50:22.600]  Если уж вы прям совсем хотите развлечить себе красоту, то в ассендере также существуют макросы.
[50:22.600 --> 50:26.600]  Притом макросы в ассендере даже более мощные, чем си.
[50:26.600 --> 50:34.600]  Поэтому вы можете даже вот эту штуку на макросе и вот эту штуку на макросе,
[50:34.600 --> 50:39.600]  чтобы у вас там были прям вообще именованные названия в ваших локальных предметах.
[50:39.600 --> 50:45.600]  Ну я не могу сказать, что они так рекомендуют, но если не хочется, то можно.
[50:45.600 --> 50:53.600]  Потом можно даже завести там у себя макросчетчик на сколько вы сдвинули ESP.
[50:53.600 --> 50:59.600]  И взять вместо команд SUBESP какую-нибудь там макрооперацию,
[50:59.600 --> 51:06.600]  выделить место на стэке, которое будет делать SUBESP и двигать ваш макросчетчик,
[51:06.600 --> 51:10.600]  чтобы вот это значение у вас вычислялось автоматически.
[51:10.600 --> 51:16.600]  Ну если захочется вот экспериментировать, то можно.
[51:16.600 --> 51:20.600]  Ну я вам рекомендую, ну хотя бы вот так.
[51:20.600 --> 51:26.600]  Так можно закройте этих.
[51:26.600 --> 51:28.600]  Там открытое окошко.
[51:28.600 --> 51:42.600]  Немножко потише.
[51:44.600 --> 51:46.600]  У нас так было посреди Матана.
[51:46.600 --> 51:48.600]  У нас было посреди Матана.
[51:48.600 --> 51:52.600]  Там в аудитории красиво.
[51:52.600 --> 51:54.600]  И вот так греческий с окна орал.
[51:54.600 --> 51:56.600]  Вот так посреди Матана.
[51:56.600 --> 51:58.600]  Там в дороге в воде.
[52:00.600 --> 52:02.600]  Приободляет меня.
[52:02.600 --> 52:04.600]  Да я не знаю.
[52:04.600 --> 52:06.600]  Меня очень сбивает.
[52:06.600 --> 52:08.600]  Когда в тебя вливает жесткий Матан.
[52:08.600 --> 52:12.600]  А тебе такой СБ.
[52:12.600 --> 52:14.600]  Подарочек.
[52:14.600 --> 52:18.600]  С этим мы разобрались.
[52:18.600 --> 52:23.600]  Что еще всякого про структуру пункции?
[52:23.600 --> 52:26.600]  Давайте более подробно про конвенцию виза.
[52:26.600 --> 52:29.600]  В прошлый раз было как по-быстрому.
[52:29.600 --> 52:32.600]  Теперь по манаме.
[52:32.600 --> 52:34.600]  Ну тоже не совсем до конца.
[52:34.600 --> 52:36.600]  Потому что еще мы не все сейчас смотрели.
[52:36.600 --> 52:40.600]  Что можно сказать про конвенцию виза?
[52:40.600 --> 52:42.600]  Вообще что приземляет конвенция виза?
[52:42.600 --> 52:46.600]  Правила, как вызывать функции.
[52:46.600 --> 52:50.600]  И этим правилом отнесется что в них?
[52:50.600 --> 52:55.600]  Во-первых, где сохранять возвращаемый адрес?
[52:55.600 --> 52:57.600]  Куда возвращаться?
[52:57.600 --> 53:04.600]  На x86 с этим просто почти всегда это просто стэк.
[53:04.600 --> 53:05.600]  Да.
[53:05.600 --> 53:10.600]  То есть с адресом возврата на x86 стэк и не париться.
[53:10.600 --> 53:12.600]  Следующий вопрос.
[53:12.600 --> 53:15.600]  Как передавать аргументы?
[53:15.600 --> 53:20.600]  Аргументы, как правило, передаются двумя способами.
[53:20.600 --> 53:23.600]  Либо стэк, либо регистры.
[53:23.600 --> 53:26.600]  И вот здесь вот есть разница.
[53:26.600 --> 53:33.600]  Конвенция CDECL.
[53:33.600 --> 53:35.600]  Что у нас еще есть?
[53:35.600 --> 53:37.600]  STD call.
[53:37.600 --> 53:39.600]  Fast call.
[53:39.600 --> 53:43.600]  Call и fast call.
[53:43.600 --> 53:47.600]  Ну вот из того, что можно...
[53:47.600 --> 53:49.600]  Ну что здесь call?
[53:49.600 --> 53:50.600]  Вектор call.
[53:50.600 --> 53:51.600]  Вектор call.
[53:51.600 --> 53:52.600]  Это вариация на тему fast call 64.
[53:52.600 --> 53:53.600]  Это по-моему, 64 битвая конвенция.
[53:53.600 --> 53:54.600]  У меня было нет предслужительного варианта.
[53:54.600 --> 53:58.600]  И она пока про вообще то, до чего мы не дошли, про симп-регистры.
[53:58.600 --> 54:07.600]  Поэтому про обычные аргументы вектор call не будет отличаться от одного из этих на полную основу.
[54:07.600 --> 54:16.600]  Итак, что можно сказать про аргументы?
[54:16.600 --> 54:17.600]  Аргументы?
[54:17.600 --> 54:18.600]  Аргументы почти везде.
[54:18.600 --> 54:23.600]  Это стэк и так называемый обратный порядок.
[54:23.600 --> 54:24.600]  Тоже самое.
[54:24.600 --> 54:25.600]  Тоже самое.
[54:25.600 --> 54:26.600]  Тоже самое.
[54:26.600 --> 54:27.600]  Тоже самое.
[54:27.600 --> 54:28.600]  Тоже самое.
[54:28.600 --> 54:30.600]  Тоже самое.
[54:30.600 --> 54:31.600]  Тоже самое.
[54:31.600 --> 54:32.600]  Здесь.
[54:32.600 --> 54:40.600]  Почти везде. Это стэк и так называемый обратный порядок.
[54:46.600 --> 54:47.600]  То же самое.
[54:49.600 --> 54:50.600]  Все же самое.
[54:51.600 --> 54:52.600]  Вот здесь.
[54:53.600 --> 54:54.600]  Комментарий.
[54:55.600 --> 54:56.600]  А, нет.
[54:57.600 --> 54:58.600]  О, он там.
[55:02.600 --> 55:13.600]  Ну, это какие-то регистры плюс стэк.
[55:18.600 --> 55:19.600]  Что происходит?
[55:20.600 --> 55:23.600]  Ну, во-первых, обратный порядок.
[55:24.600 --> 55:26.600]  Кто в прошлый раз помнит?
[55:26.600 --> 55:27.600]  То же самое.
[55:28.600 --> 55:36.600]  Если функция тэк вызывается инструментами А, В, С, то это означает, что вызов выглядит как
[55:36.600 --> 55:48.600]  Пуш-С, Пуш-Б, Пуш-А, О, Т.
[55:49.600 --> 56:03.600]  Ну, вообще, в потенциале существует конвенция Pascal, у которой стэк в прямой порядок.
[56:03.600 --> 56:10.600]  Но Pascal, как конвенция, мало кому нужна.
[56:11.600 --> 56:16.600]  Она, как я понимаю, была популярна в 16-ти линии.
[56:17.600 --> 56:30.600]  И, вроде бы, она использовалась в Pascal и Pascal-Вазме, музыкальной, в смысле, в дельфе, и в треструбительной.
[56:30.600 --> 56:36.600]  Правда, я уже как-то давно, благо, не встречался с дельфе.
[56:37.600 --> 56:39.600]  Как ни странно, он жив.
[56:40.600 --> 56:44.600]  Но, вот, я уже забыл.
[56:44.600 --> 56:48.600]  Используют они эту конвенцию, не используют.
[56:48.600 --> 56:50.600]  Но, если кто-то использует, то дей.
[56:53.600 --> 56:55.600]  Больше это никому не надо.
[56:55.600 --> 57:05.600]  Какой плюс обратного порядка аргументов, вы знаете место, где раскладается первый аргумент.
[57:05.600 --> 57:08.600]  Первый аргумент всегда раскладается по адресу
[57:08.600 --> 57:11.600]  ЕСП плюс 4.
[57:11.600 --> 57:17.600]  Второй ЕСП плюс 4, плюс размер первого аргумента.
[57:17.600 --> 57:20.600]  Как правило, плюс 4, но не обязательно.
[57:20.600 --> 57:24.600]  Если ваш первый аргумент жирный, то он может раскладаться и дальше.
[57:24.600 --> 57:33.600]  А если у вас прямой порядок аргументов, то есть push-a, push-b, push-c,
[57:33.600 --> 57:38.600]  ну, тогда вам нужно знать точно, сколько у вас аргументов.
[57:38.600 --> 57:47.600]  Поэтому, с прямым порядком, невозможно, без какой-то хитрой дополнительной информации, написать, например, barart функцию.
[57:48.600 --> 57:52.600]  Функция, которая принимает переменное число аргументов.
[57:52.600 --> 57:55.600]  Вот, с Pascal-конвенцией невозможно.
[57:59.600 --> 58:03.600]  Итак, stack-обратный порядок сделком.
[58:03.600 --> 58:05.600]  std-code тоже самое.
[58:05.600 --> 58:13.600]  Fast-call – это взять несколько аргументов первым и передать их через регистры.
[58:14.600 --> 58:19.600]  А остальные аргументы через tag в обратном порядке.
[58:20.600 --> 58:25.600]  Но, к сожалению, я не зря так сказал в серпе первого, не договорились.
[58:26.600 --> 58:32.600]  Разные компиляторы разное количество аргументов через разные регистры передают.
[58:32.600 --> 58:45.600]  То есть fast-call – это не какая-то конкретная конвенция, это вот, к сожалению, такая идея, которая разными компиляторами реализуется немножко по-разному.
[58:45.600 --> 59:00.600]  Довольно часто можно встретить это как два регистра – ecx и edx, то есть первый аргумент – ecx, второй – edx.
[59:00.600 --> 59:04.600]  Например, микрософский компилятор так себе делает.
[59:04.600 --> 59:13.600]  Но другие компиляторы могут делать с другом.
[59:13.600 --> 59:22.600]  Поэтому fast-call – это вот такое не очень совместимое создание в принципе любительный метод.
[59:22.600 --> 59:27.600]  И есть еще this-call.
[59:27.600 --> 59:31.600]  This-call – это порождение микрософта.
[59:31.600 --> 59:33.600]  Оно заключается в чем?
[59:33.600 --> 59:40.600]  В том, что когда вы вызываете какой-то метод у класса,
[59:40.600 --> 59:42.600]  что методу нужно?
[59:42.600 --> 59:43.600]  This-call.
[59:43.600 --> 59:44.600]  Указатель this.
[59:44.600 --> 59:49.600]  И вот this-call, этот самый указатель на this,
[59:49.600 --> 59:52.600]  передает в регистре gecx.
[59:52.600 --> 01:00:06.600]  А аргументы и прочие действия как std-call?
[01:00:06.600 --> 01:00:08.600]  Тогичный вопрос.
[01:00:08.600 --> 01:00:13.600]  А если у нас не this-call, то как передается указатель this?
[01:00:13.600 --> 01:00:16.600]  Как обычный аргумент?
[01:00:16.600 --> 01:00:18.600]  Как обычный аргумент, да.
[01:00:18.600 --> 01:00:20.600]  Но где обычный аргумент?
[01:00:20.600 --> 01:00:21.600]  Да.
[01:00:21.600 --> 01:00:25.600]  Как нулевой аргумент перед самым первым.
[01:00:25.600 --> 01:00:27.600]  То есть это такой скрытый аргумент,
[01:00:27.600 --> 01:00:30.600]  который компилятор втыкает перед самым первым,
[01:00:30.600 --> 01:00:35.600]  то есть при вызове функции он будет вот здесь вот.
[01:00:35.600 --> 01:00:36.600]  Да.
[01:00:36.600 --> 01:00:40.600]  А почему ты сейчас сидел бы и есть т.д-call?
[01:00:40.600 --> 01:00:41.600]  Кого?
[01:00:41.600 --> 01:00:42.600]  Сидел бы.
[01:00:42.600 --> 01:00:43.600]  Пока никакого.
[01:00:43.600 --> 01:00:44.600]  Пока никакого.
[01:00:44.600 --> 01:00:45.600]  Пока никакого.
[01:00:45.600 --> 01:00:51.600]  Т.е. если у нас this-call, то this идет в лице is.
[01:00:51.600 --> 01:00:57.600]  Если это не this-call, то на самом деле у вашей функции на один аргумент больше,
[01:00:57.600 --> 01:01:02.600]  и у вас перед самым первым аргументом добавляется этот самый this.
[01:01:02.600 --> 01:01:12.600]  Он не явный в полюсах, а на самом деле очень даже явный.
[01:01:12.600 --> 01:01:14.600]  Это было про аргументы.
[01:01:14.600 --> 01:01:15.600]  Потом.
[01:01:15.600 --> 01:01:18.600]  Когда аргументы мы запихали на стэк,
[01:01:18.600 --> 01:01:22.600]  в конце их должен кто-то со стэка убрать,
[01:01:22.600 --> 01:01:25.600]  чтобы наш стэк оказался сбалансированным.
[01:01:25.600 --> 01:01:28.600]  И кто это должен сделать?
[01:01:28.600 --> 01:01:29.600]  Так вот.
[01:01:29.600 --> 01:01:30.600]  Это...
[01:01:30.600 --> 01:01:31.600]  Ой.
[01:01:31.600 --> 01:01:32.600]  Там просто...
[01:01:32.600 --> 01:01:35.600]  Вызывающие и вызываемые,
[01:01:35.600 --> 01:01:37.600]  они очень похожи,
[01:01:37.600 --> 01:01:39.600]  как вам это означает.
[01:01:39.600 --> 01:01:40.600]  Коля и Коля.
[01:01:40.600 --> 01:01:45.600]  Стрелочка вверх – это тот, кто вызывал.
[01:01:45.600 --> 01:01:49.600]  А стрелочка вниз – это тот, кого вызывали.
[01:01:49.600 --> 01:01:51.600]  Кого вызывали?
[01:01:51.600 --> 01:01:53.600]  Кого вызывали?
[01:01:53.600 --> 01:01:55.600]  Чего-то не знаем?
[01:01:55.600 --> 01:01:57.600]  Кого вызывали?
[01:01:57.600 --> 01:02:02.600]  Это тот...
[01:02:02.600 --> 01:02:03.600]  Да.
[01:02:03.600 --> 01:02:06.600]  Эти аргументы со стэка должны быть.
[01:02:06.600 --> 01:02:09.600]  Если это CIDECL,
[01:02:09.600 --> 01:02:14.600]  то означает, что у вас вот здесь вот есть
[01:02:14.600 --> 01:02:19.600]  ADD ESP 12.
[01:02:19.600 --> 01:02:25.600]  Вот так комбирится вызов CIDECL.
[01:02:25.600 --> 01:02:32.600]  Если у вас конвенция StzCode,
[01:02:32.600 --> 01:02:35.600]  то здесь у вас ничего нету.
[01:02:35.600 --> 01:02:38.600]  А каким образом аргументы числятся?
[01:02:38.600 --> 01:02:40.600]  Так.
[01:02:40.600 --> 01:02:42.600]  Адрес просто передвигается.
[01:02:42.600 --> 01:02:43.600]  Так.
[01:02:45.600 --> 01:02:46.600]  Нет, нет.
[01:02:46.600 --> 01:02:48.600]  Мы перемещаем...
[01:02:48.600 --> 01:02:49.600]  В ADD ESP 12.
[01:02:49.600 --> 01:02:50.600]  Функция заканчивается на что?
[01:02:50.600 --> 01:02:52.600]  На red.
[01:02:52.600 --> 01:02:56.600]  А если это CIDECL функция,
[01:02:56.600 --> 01:02:59.600]  она заканчивается на что?
[01:02:59.600 --> 01:03:05.600]  Мы на этом достаем адрес возврата ручками
[01:03:05.600 --> 01:03:07.600]  и очищаем стэкл.
[01:03:07.600 --> 01:03:12.600]  А, прочитать, что я вам рассказываю про команды?
[01:03:12.600 --> 01:03:13.600]  Red N.
[01:03:13.600 --> 01:03:15.600]  И?
[01:03:15.600 --> 01:03:18.600]  Значит, на что вот эта функция здесь заканчивается?
[01:03:18.600 --> 01:03:20.600]  На red N.
[01:03:20.600 --> 01:03:21.600]  Какой N?
[01:03:21.600 --> 01:03:22.600]  По количеству?
[01:03:22.600 --> 01:03:23.600]  Да.
[01:03:23.600 --> 01:03:24.600]  Вот это включился stdCode.
[01:03:24.600 --> 01:03:25.600]  Ещё раз.
[01:03:25.600 --> 01:03:26.600]  Что делает red с аргументом?
[01:03:26.600 --> 01:03:27.600]  Он снимает адрес возврата и он не нашли.
[01:03:27.600 --> 01:03:28.600]  Да.
[01:03:28.600 --> 01:03:30.600]  Снимает адрес возврата со стэка,
[01:03:30.600 --> 01:03:31.600]  а потом увеличивает стэкпоинтер на указанное значение.
[01:03:31.600 --> 01:03:46.600]  И, честно говоря, с точки зрения происходящего это лучше, чем стэкпоинтер на указанное значение.
[01:03:46.600 --> 01:03:49.600]  А потом увеличивает стэкпоинтер на указанное значение.
[01:03:49.600 --> 01:04:01.600]  И, честно говоря, с точки зрения происходящего это лучше, чем стэкпоинтер на указанное значение.
[01:04:01.600 --> 01:04:04.600]  Потому что у вас на одну команду меньше.
[01:04:04.600 --> 01:04:08.600]  Но какой минус?
[01:04:08.600 --> 01:04:15.600]  Ну надо посчитать, сколько поймать.
[01:04:15.600 --> 01:04:19.600]  Варар можно тут.
[01:04:19.600 --> 01:04:21.600]  Варар не сделать.
[01:04:21.600 --> 01:04:25.600]  То есть, таким образом нельзя сделать варар функцию.
[01:04:25.600 --> 01:04:30.600]  Потому что вы хардкодите количество аргументов в саму функцию.
[01:04:30.600 --> 01:04:33.600]  Значит, это количество аргументов должно быть константой.
[01:04:35.600 --> 01:04:42.600]  Вот stdCode это конвенция, которую использует большинство vnapy функций.
[01:04:44.600 --> 01:04:46.600]  Кроме тех, которые варар.
[01:04:46.600 --> 01:04:51.600]  Если это vnapy функция, которая варар, она использует stdCode.
[01:04:52.600 --> 01:04:56.600]  Если это не варар, она использует stdCode.
[01:04:56.600 --> 01:04:57.600]  Да.
[01:04:59.600 --> 01:05:09.600]  Насколько быстрее stdCode с аргументом, чем stdCode и плюс stdCode?
[01:05:09.600 --> 01:05:11.600]  На одну команду как вообще?
[01:05:11.600 --> 01:05:14.600]  Ну, на команду уже по-разному планируется.
[01:05:14.600 --> 01:05:18.600]  Ну, я думаю, stdCode с аргументом, но stdCode это только обычный z.
[01:05:18.600 --> 01:05:26.600]  Потому что он отличается только тем, насколько прибавляется значение esp.
[01:05:26.600 --> 01:05:31.600]  Он управляет так 4, а так он управляет 4 плюс констант.
[01:05:31.600 --> 01:05:41.600]  Но самое главное отличие, что ты вот здесь помешаешь код.
[01:05:41.600 --> 01:05:47.600]  То есть при stdCode ты на каждый вызов должен стэкпоинтер подвинуть.
[01:05:47.600 --> 01:05:53.600]  У тебя каждый вызов функции на одну команду почты.
[01:05:53.600 --> 01:05:59.600]  А stdCode эту команду убирает из места вызова.
[01:05:59.600 --> 01:06:13.600]  В смысле он же знает, что он будет чистить. Он же может сразу почистить.
[01:06:13.600 --> 01:06:15.600]  Нет, это не будет.
[01:06:15.600 --> 01:06:16.600]  Почему?
[01:06:16.600 --> 01:06:19.600]  Потому что вы не обязаны сразу продвигать стэкпоинтер.
[01:06:19.600 --> 01:06:22.600]  Нет, здесь у нас red. Мы двигаем стэкпоинтер.
[01:06:22.600 --> 01:06:23.600]  Нет, red-то да.
[01:06:23.600 --> 01:06:25.600]  В смысле аргумент из стэка выделить,
[01:06:25.600 --> 01:06:27.600]  red-то не обязаны вот здесь.
[01:06:27.600 --> 01:06:28.600]  Ну да, да, да.
[01:06:28.600 --> 01:06:29.600]  Сразу, да.
[01:06:29.600 --> 01:06:36.600]  А red-12 мы говорим про то, что...
[01:06:36.600 --> 01:06:42.600]  После снятия со стэка добавить к ESP 12.
[01:06:42.600 --> 01:06:46.600]  12 это произведение 4 на 3.
[01:06:46.600 --> 01:06:49.600]  То есть 3 аргумента по 4 байта.
[01:06:49.600 --> 01:06:53.600]  Потому что push пушит по нашей битности.
[01:06:53.600 --> 01:06:56.600]  То есть каждый push это 32 бита и 4 байта.
[01:06:56.600 --> 01:07:01.600]  А FASCOL там на FASCOL?
[01:07:01.600 --> 01:07:03.600]  Там по-моему не договорились.
[01:07:03.600 --> 01:07:05.600]  То есть там бывает и так, и так.
[01:07:09.600 --> 01:07:13.600]  То есть FASCOL это штука такая, ну вот идея, да.
[01:07:13.600 --> 01:07:18.600]  А как компиляторы ее реализовали, ну, разно.
[01:07:19.600 --> 01:07:22.600]  То есть по факту консеркционности DECAL
[01:07:22.600 --> 01:07:25.600]  мы не после каждого выданного функции будем делать red.
[01:07:25.600 --> 01:07:27.600]  А в SDCOL мы...
[01:07:27.600 --> 01:07:29.600]  Не после каждого выданного функции,
[01:07:29.600 --> 01:07:32.600]  а функция заканчивается на просто red.
[01:07:32.600 --> 01:07:36.600]  А вызов функции, после вызова функции,
[01:07:36.600 --> 01:07:38.600]  вам нужно почистить аргумент.
[01:07:38.600 --> 01:07:43.600]  Вот это сейчас нарисована картинка для SDCOL.
[01:07:43.600 --> 01:07:45.600]  запомнили?
[01:07:45.600 --> 01:07:46.600]  Запомнили?
[01:07:46.600 --> 01:07:49.600]  Теперь сейчас я его обратно верну в SDCOL.
[01:07:49.600 --> 01:07:51.600]  SDCOL выглядит...
[01:07:51.600 --> 01:08:03.600]  Вот так выглядит степень.
[01:08:03.600 --> 01:08:05.600]  То есть просто red.
[01:08:05.600 --> 01:08:08.600]  А здесь очистить красота.
[01:08:08.600 --> 01:08:09.600]  Да.
[01:08:09.600 --> 01:08:10.600]  Да.
[01:08:10.600 --> 01:08:12.600]  А как там можно, ребята,
[01:08:12.600 --> 01:08:14.600]  снисленный БААР с фасковым?
[01:08:14.600 --> 01:08:16.600]  Ну, если выживает функция,
[01:08:16.600 --> 01:08:17.600]  она чистит.
[01:08:17.600 --> 01:08:18.600]  Снисленный?
[01:08:18.600 --> 01:08:21.600]  Нет, мне кажется,
[01:08:21.600 --> 01:08:22.600]  так не перейдет.
[01:08:26.600 --> 01:08:28.600]  Когда мы перейдем к 64-битным конвенциям,
[01:08:28.600 --> 01:08:30.600]  вот там вы увидите это развлечение,
[01:08:30.600 --> 01:08:32.600]  потому что они фасковы,
[01:08:32.600 --> 01:08:33.600]  по смыслу,
[01:08:33.600 --> 01:08:36.600]  но они поддерживают ВАРА.
[01:08:36.600 --> 01:08:38.600]  Поэтому развлечение...
[01:08:38.600 --> 01:08:39.600]  Вот.
[01:08:39.600 --> 01:08:43.600]  Пока у нас все так по-простому.
[01:08:43.600 --> 01:08:45.600] ιмир...
[01:08:45.600 --> 01:09:02.600]  Конечно,
[01:09:02.600 --> 01:09:03.600]  Важная особенность,
[01:09:03.600 --> 01:09:05.600]  что аргументы функции
[01:09:05.600 --> 01:09:07.600]  принадлежат самой функции.
[01:09:07.600 --> 01:09:09.600]  Я не верен
[01:09:09.600 --> 01:09:19.140]  про то, что будет, если вы пометите их как const, но мне очень сильно кажется, что в любом случае
[01:09:19.140 --> 01:09:26.480]  никто не рассчитывает, что аргументы сохранятся на стейке. Поэтому вы можете где-то прочитать,
[01:09:26.480 --> 01:09:33.600]  что типа сидя-ка лучше тем, что можно вот так натушить аргументы один раз, а потом несколько раз
[01:09:33.600 --> 01:09:39.680]  вызывать функцию. Мало того, что это довольно какое-то бредовое занятие, зачем вам несколько раз вызывать функцию
[01:09:39.680 --> 01:09:46.440]  с одними и теми же аргументами, но и это на самом деле незаконно, потому что функция имеет право свои
[01:09:46.440 --> 01:09:56.520]  аргументы-то и порушить на стейке. Аргументы принадлежат вызываемой функции. Она может и очень даже
[01:09:56.520 --> 01:10:03.960]  делаем, туда что-нибудь подписать. Например, вместо того, чтобы выделять стек, компеллятор может в это
[01:10:03.960 --> 01:10:11.880]  место, там где были аргументы, если они больше не нужны, сохранять ваши локальные перемены, чем не активизация.
[01:10:11.880 --> 01:10:28.760]  Вот. Это кто чистит стек? Следующий вопрос. Возвращаемое значение. Возвращаемое значение, я вам говорил,
[01:10:28.760 --> 01:10:41.640]  везде в аккумуляторе. Вот именно в такой формулировке. Что это означает? Если вы возвращаете 32-бутные
[01:10:41.640 --> 01:10:57.520]  число, то где оно будет? Яйц. Если вы возвращаете там какой-нибудь бул, где он будет? AL. То есть в той части аккумулятора,
[01:10:57.520 --> 01:11:06.600]  которая соответствует подбитности вашему возвращаемому значению. Если вы возвращаете 8-битное значение, то
[01:11:06.600 --> 01:11:16.320]  старшая часть я икса, мусор. Не надо рассчитывать, что там кто-то вам что-то обнули. Поэтому если функция
[01:11:16.320 --> 01:11:27.480]  возвращает вам бул, вы проявляете AL, а не я икс. Я икс может содержать, будет содержать мусор. Имейте это в виду.
[01:11:27.480 --> 01:11:35.480]  Не промахнитесь с размерами к аккумулятору. Это раз. Во-вторых, нередко, ну, как я поцелую
[01:11:35.480 --> 01:11:45.200]  документацию, вроде не всегда, еще используется расширение dx. Например, подлингой вот это точно работает.
[01:11:45.200 --> 01:11:54.480]  Если вы возвращаете в 3-бутном мире 6-бутное значение, то оно возвращается в расширенном аккумуляторе,
[01:11:54.480 --> 01:12:02.480]  то есть, младше 32-битное в я иксе, старше 32-битное в я иксе. Но, я еще раньше
[01:12:02.480 --> 01:12:08.480]  сказал, что и подлингусно так работает. Ничего не стало, не уверен. Посмотрите, вот у кого рукой
[01:12:08.480 --> 01:12:22.480]  Linux. Если ваша функция, если убитное, возвращает там клонг-клонг, то оно отправится в я икс, я икс или нет.
[01:12:22.480 --> 01:12:40.480]  Соответственно, если ваше значение умещается, то есть какой-нибудь там указатель, то те же самые правила.
[01:12:40.480 --> 01:12:46.480]  В я икс, еды икс положилось. Ну, я на год болте попробовал. Там, скорее всего, Linux на серваке.
[01:12:46.480 --> 01:12:50.480]  Нет, там зависит от того, как пишешь. Ну, конечно, там по дефолту, скорее всего, Linux.
[01:12:50.480 --> 01:13:00.480]  У меня GCC, так что. Ну, GCC, который 32-бит. Да, минус M32. Ну, наверное, да. Окей. Все хорошо тогда.
[01:13:00.480 --> 01:13:14.480]  Вот. И у нас встает вопрос, а что делать, если функция возвращает больше, что не лезет даже в расширенный аккумулятор?
[01:13:14.480 --> 01:13:22.480]  Почему? Потому что даже на C вы легко можете вернуть мегабайт. Как?
[01:13:22.480 --> 01:13:30.480]  Структуркой. Да. Вы отписываете структуру, заводите внутри нее массив черный мегабайт, и потом говорите,
[01:13:30.480 --> 01:13:35.480]  тип возвращаемого значения моей функции вот это структура.
[01:13:35.480 --> 01:13:39.480]  Этот мегабайт, конечно, ни в какие регистры никогда не лезет.
[01:13:39.480 --> 01:13:42.480]  Что делать в этом случае?
[01:13:42.480 --> 01:13:49.480]  В этом случае, конечно же, придется как-то возвращать чрез-указатель.
[01:13:49.480 --> 01:13:54.480]  То есть нужно где-то выделить память и передать на нее указатель.
[01:13:54.480 --> 01:14:01.480]  Вопрос только в том, кто эту память выделяет?
[01:14:01.480 --> 01:14:02.480]  Вызывающая.
[01:14:02.480 --> 01:14:04.480]  Кто этот мегабайт выделяет?
[01:14:04.480 --> 01:14:06.480]  Кто вызывает функцию?
[01:14:06.480 --> 01:14:10.480]  Или сама функция, которая возвращает это значение?
[01:14:10.480 --> 01:14:11.480]  И к чему?
[01:14:11.480 --> 01:14:15.480]  Тот кто, потому что если бы это выделялась сама функция, которую вызвали,
[01:14:15.480 --> 01:14:18.480]  память, которую она выделила, бы потом инвалидировалась.
[01:14:18.480 --> 01:14:20.480]  Нет. Ну, в смысле, если смастер.
[01:14:20.480 --> 01:14:21.480]  Ну, вообще.
[01:14:21.480 --> 01:14:23.480]  Мне кажется, кто угодно.
[01:14:23.480 --> 01:14:33.480]  Я хочу не просто кто, а еще аргументацию почему.
[01:14:33.480 --> 01:14:37.480]  Потому что он знает, куда может их поймать.
[01:14:37.480 --> 01:14:38.480]  Наверняка.
[01:14:38.480 --> 01:14:40.480]  У нас все выделилось, понятно.
[01:14:40.480 --> 01:14:44.480]  Мне не нравится ваша аргументация.
[01:14:44.480 --> 01:14:48.480]  Ну, правильный ответ тот, кто вызывает.
[01:14:48.480 --> 01:14:52.480]  Ну, а аргументацию и что-то я пока нормальнее не взвожу.
[01:14:52.480 --> 01:15:02.480]  Если это выделяет тот, кого вызвали, то молока у нас нет, у нас через стэк передается только.
[01:15:02.480 --> 01:15:08.480]  А если он выделяет это где-то на своем стэке, то у нас этот стэк потом выходит из скопа...
